12.7877 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
117.2332 	DATA 	Keypress: up
117.2445 	EXP 	fixation: autoDraw = False
117.2445 	EXP 	grating: autoDraw = False
117.2445 	EXP 	grating: ori = 0.0
117.2445 	EXP 	fixation: autoDraw = True
118.2438 	EXP 	fixation: autoDraw = False
118.2438 	EXP 	grating: autoDraw = True
118.5436 	EXP 	grating: autoDraw = False
118.8303 	EXP 	New trial (rep=49, index=0): None
118.8313 	DATA 	Keypress: up
118.8432 	EXP 	fixation: autoDraw = False
118.8432 	EXP 	grating: autoDraw = False
118.8432 	EXP 	grating: ori = 3.0
118.8432 	EXP 	fixation: autoDraw = True
119.8423 	EXP 	fixation: autoDraw = False
119.8423 	EXP 	grating: autoDraw = True
120.1421 	EXP 	grating: autoDraw = False
120.2781 	EXP 	New trial (rep=50, index=0): None
120.2792 	DATA 	Keypress: down
120.2921 	EXP 	fixation: autoDraw = False
120.2921 	EXP 	grating: autoDraw = False
120.2921 	EXP 	grating: ori = 0.0
120.2921 	EXP 	fixation: autoDraw = True
121.2912 	EXP 	fixation: autoDraw = False
121.2912 	EXP 	grating: autoDraw = True
121.5910 	EXP 	grating: autoDraw = False
121.8933 	EXP 	New trial (rep=51, index=0): None
121.8944 	DATA 	Keypress: up
121.9075 	EXP 	fixation: autoDraw = False
121.9075 	EXP 	grating: autoDraw = False
121.9075 	EXP 	grating: ori = 1.0
121.9075 	EXP 	fixation: autoDraw = True
122.9068 	EXP 	fixation: autoDraw = False
122.9068 	EXP 	grating: autoDraw = True
123.2064 	EXP 	grating: autoDraw = False
123.4591 	EXP 	New trial (rep=52, index=0): None
123.4604 	DATA 	Keypress: down
123.4730 	EXP 	fixation: autoDraw = False
123.4730 	EXP 	grating: autoDraw = False
123.4730 	EXP 	grating: ori = -3.0
123.4730 	EXP 	fixation: autoDraw = True
124.4723 	EXP 	fixation: autoDraw = False
124.4723 	EXP 	grating: autoDraw = True
124.7719 	EXP 	grating: autoDraw = False
124.8075 	DATA 	Keypress: up
124.8251 	EXP 	New trial (rep=53, index=0): None
124.8382 	EXP 	fixation: autoDraw = False
124.8382 	EXP 	grating: autoDraw = False
124.8382 	EXP 	grating: ori = 0.0
124.8382 	EXP 	fixation: autoDraw = True
125.8374 	EXP 	fixation: autoDraw = False
125.8374 	EXP 	grating: autoDraw = True
126.1368 	EXP 	grating: autoDraw = False
126.2553 	EXP 	New trial (rep=54, index=0): None
126.2561 	DATA 	Keypress: up
126.2704 	EXP 	fixation: autoDraw = False
126.2704 	EXP 	grating: autoDraw = False
126.2704 	EXP 	grating: ori = 0.0
126.2704 	EXP 	fixation: autoDraw = True
127.2698 	EXP 	fixation: autoDraw = False
127.2698 	EXP 	grating: autoDraw = True
127.5696 	EXP 	grating: autoDraw = False
127.6388 	EXP 	New trial (rep=55, index=0): None
127.6399 	DATA 	Keypress: up
127.6527 	EXP 	fixation: autoDraw = False
127.6527 	EXP 	grating: autoDraw = False
127.6527 	EXP 	grating: ori = -2.0
127.6527 	EXP 	fixation: autoDraw = True
128.6521 	EXP 	fixation: autoDraw = False
128.6521 	EXP 	grating: autoDraw = True
128.9518 	EXP 	grating: autoDraw = False
128.9547 	EXP 	New trial (rep=56, index=0): None
128.9559 	DATA 	Keypress: up
128.9684 	EXP 	fixation: autoDraw = False
128.9684 	EXP 	grating: autoDraw = False
128.9684 	EXP 	grating: ori = 1.0
128.9684 	EXP 	fixation: autoDraw = True
129.9676 	EXP 	grating: autoDraw = True
129.9842 	EXP 	fixation: autoDraw = False
130.2669 	EXP 	grating: autoDraw = False
130.2853 	EXP 	New trial (rep=57, index=0): None
130.2861 	DATA 	Keypress: up
130.3002 	EXP 	fixation: autoDraw = False
130.3002 	EXP 	grating: autoDraw = False
130.3002 	EXP 	grating: ori = 0.0
130.3002 	EXP 	fixation: autoDraw = True
131.2997 	EXP 	fixation: autoDraw = False
131.2997 	EXP 	grating: autoDraw = True
131.5997 	EXP 	grating: autoDraw = False
131.6518 	EXP 	New trial (rep=58, index=0): None
131.6527 	DATA 	Keypress: down
131.6661 	EXP 	fixation: autoDraw = False
131.6661 	EXP 	grating: autoDraw = False
131.6661 	EXP 	grating: ori = 0.0
131.6661 	EXP 	fixation: autoDraw = True
132.6654 	EXP 	fixation: autoDraw = False
132.6654 	EXP 	grating: autoDraw = True
132.9651 	EXP 	grating: autoDraw = False
133.0025 	EXP 	New trial (rep=59, index=0): None
133.0036 	DATA 	Keypress: down
133.0148 	EXP 	fixation: autoDraw = False
133.0148 	EXP 	grating: autoDraw = False
133.0148 	EXP 	grating: ori = 4.0
133.0148 	EXP 	fixation: autoDraw = True
134.0143 	EXP 	fixation: autoDraw = False
134.0143 	EXP 	grating: autoDraw = True
134.3138 	EXP 	grating: autoDraw = False
134.4484 	EXP 	New trial (rep=60, index=0): None
134.4492 	DATA 	Keypress: up
134.4635 	EXP 	fixation: autoDraw = False
134.4635 	EXP 	grating: autoDraw = False
134.4635 	EXP 	grating: ori = 0.0
134.4635 	EXP 	fixation: autoDraw = True
135.4631 	EXP 	fixation: autoDraw = False
135.4631 	EXP 	grating: autoDraw = True
135.7628 	EXP 	grating: autoDraw = False
138.3622 	EXP 	New trial (rep=61, index=0): None
138.3631 	DATA 	Keypress: up
138.3772 	EXP 	fixation: autoDraw = False
138.3772 	EXP 	grating: autoDraw = False
138.3772 	EXP 	grating: ori = -3.0
138.3772 	EXP 	fixation: autoDraw = True
